TRAINID,PROPOSAL_ID,SOURCE,DESTINATION,TRAIN_NUMBER,TRAIN_NAME,ROUTE_TYPE,TRAIN_TYPE,DAY_OF_SERVICES,NO_OF_COACHES,TRAIN_COMPOSITION,REVERSE_TRAIN_NUMBER,FORECOLOR,VALIDFROM,VALIDTO
801974,22887,HWH,SMVB,22887,HWH-SMVB HUMSAFAR EXPRESS,C,SUF,"0,1,0,0,0,0,0",20,,22888,Red,10-Apr-25,31-Dec-99
796310,12863,HWH,SMVB,12863,HWH-SMVB SUF EXPRESS,C,SUF,"1,1,1,1,1,1,1",23,,12864,Red,08-Feb-25,31-Dec-99
792961,22863,HWH,SMVB,22863,HWH-SMVB SUPERFAST AC EXP,C,SUF,"1,0,0,0,0,0,0",19,,22864,Red,06-Jan-25,31-Dec-99
793714,12663,HWH,TPJ,12663,HWH-TPJ SF EXP,C,SUF,"0,0,0,1,0,0,1",20,,12664,Red,12-Jan-25,31-Dec-99
790241,20889,HWH,TPTY,20889,HWH-TPTY HUMSAFAR EXPRESS,C,SUF,"0,0,0,0,0,1,0",19,"LWACCN,LWCBAC,LWLRRM",20890,Red,01-Jan-25,31-Dec-99
790246,22831,HWH,YPR,22831,HWH-YPR SUPERFAST EXP,C,SUF,"0,0,1,0,0,0,0",22,,22832,Red,01-Jan-25,31-Dec-99
808014,18448,JDB,BBS,18448,JAGDALPUR BHUBANESWAR SPE,C,MEX,"1,1,1,1,1,1,1",12,,18447,Red,14-Aug-25,31-Dec-99
784480,20838,JNRD,BBS,20838,JNRD-BBS SUF,C,SUF,"1,1,1,1,1,1,1",12,,20837,Red,01-Jan-25,31-Dec-99
804911,22306,JSME,SMVB,22306,JSME SMVB WEEKLY EXP,C,SUF,"0,0,0,0,1,0,0",22,"LWSCN-2,LS-2,LWACCN-10,LWCBAC-1,LWACCW-4,LWFAC-1,LWLRRM-2",22305,Red,20-Jun-25,31-Dec-99
787744,12376,JSME,TBM,12376,JSME-TBM SF EXPRESS,C,SUF,"0,0,1,0,0,0,0",22,"LWLRRM-2,LS-2,LWSCN-10,LWCBAC-1,LWACCW-1,LWACCN-6",12375,Red,01-Jan-25,31-Dec-99
803811,22603,KGP,VM,22603,KGP VM WKLY SF EXP,C,SUF,"0,0,0,1,0,0,0",20,,22604,Red,22-May-25,31-Dec-99
803827,659,KOK,AZA,659,KOKG-AZA PCET SPL,C,PEXP,"0,1,0,0,0,0,0",15,,660,Red,21-May-25,31-Jan-26
807914,18517,KRBA,VSKP,18517,KORBA-VSKP EXP,C,MEX,"1,1,1,1,1,1,1",20,,18518,Red,15-Aug-25,31-Dec-99
800824,18516,KRDL,VSKP,18516,KRDL-VSKP EXP,C,MEX,"1,1,1,1,1,1,1",13,"GS,GSLRD,WGACCN,WGACCW,WGSCN",18515,Red,01-Jun-25,31-Dec-99
786445,58502,KRDL,VSKP,58502,KRDL-VSKP PASSENGER,C,PAS,"1,1,1,1,1,1,1",13,,58501,Blue,01-Jan-25,31-Dec-99
786650,18511,KRPU,VSKP,18511,KRPU-VSKP BI-WEEKLY INTER,C,MEX,"0,1,0,0,0,1,0",20,,18512,Red,01-Jan-25,31-Dec-99
784409,58537,KRPU,VSKP,58537,KRPU-VSKP PASSENGER,C,PAS,"1,1,1,1,1,1,1",8,,58538,Blue,01-Jan-25,31-Dec-99
808557,9060,KUR,UDN,9060,KUR-UDN SPECIAL,C,TOD,"0,0,0,0,1,0,0",22,,,Red,20-Aug-25,26-Sep-25
808901,9060,KUR,UDN,9060,KUR-UDN SPECIAL,C,TOD,"0,0,0,0,1,0,0",22,,,Red,27-Sep-25,02-Jan-26
802609,12552,KYQ,SMVB,12552,KYQ-SMVB AC S/F EXPRESS,C,SUF,"0,0,1,0,0,0,0",20,,12551,Red,24-Apr-25,31-Dec-99
808537,22848,LTT,VSKP,22848,LTT-VSKP S/F WEEKLY,C,SUF,"0,1,0,0,0,0,0",19,"GSLRD-2,GS-6,WGSCN-8,WGACCN-2,WGACCW-1",22847,Red,20-Aug-25,31-Dec-99
808722,22852,MAQ,SRC,22852,MAQ - SRC VIVEK EXPRESS,C,SUF,"0,0,0,0,0,1,0",22,,22851,Red,23-Aug-25,31-Dec-99
790530,22611,MAS,NJP,22611,MAS NJP SF EXP,C,SUF,"0,0,1,0,0,0,0",20,,22612,Red,01-Jan-25,31-Dec-99
791261,22826,MAS,SHM,22826,MAS SHM SUF EXP,C,SUF,"0,0,1,0,0,0,0",18,,22825,Red,01-Jan-25,31-Dec-99
791011,22808,MAS,SRC,22808,MAS SRC AC EXPRESS,C,SUF,"0,0,0,1,0,0,1",19,,22807,Red,01-Jan-25,31-Dec-99
794589,20854,MAS,BBS,20854,MAS-BBS WEEKLY EXP,C,SUF,"0,0,0,0,1,0,0",20,,,Red,07-Mar-25,31-Dec-99
809003,12842,MAS,HWH,12842,MAS-HWH COROMONDEL EXP,C,SUF,"1,1,1,1,1,1,1",22,,12841,Red,27-Aug-25,31-Dec-99
